た_|_X 6151
。_|_M-p 6090
、_|_M-c 5381
の_|_P-k 4277
は_|_P-rj 4123
を_|_P-k 4038
に_|_P-k 3962
て_|_P-sj 3788
が_|_P-k 3644
」_|_M-cp 2262
「_|_M-op 2251
と_|_P-k 2211

_|_M-op 2178

_|_M-c 2136
だ_|_X 1631
ハリー_|_N-pn 1553
…_|_M-c 1516
も_|_P-rj 1364
し_|_V-dp 1344
で_|_P-k 1224
の_|_P-jj 910
い_|_V-dp 798
な_|_X 781
に_|_X 754
いる_|_V-dp 706
こと_|_N-nc 678
？_|_M-p 674
―_|_M-c 672
ない_|_X 608
ん_|_P-jj 601
か_|_P-fj 591
よう_|_J-xs 565
よ_|_P-sj 544
から_|_P-k 510
だっ_|_X 458
ない_|_A-dp 450
か_|_P-sj 438
さん_|_Q-n 406
！_|_M-p 406
言っ_|_V-c 404
ロン_|_N-nc 389
で_|_X 379
が_|_P-sj 364
・_|_M-c 332
一_|_N-n 324
何_|_D 324
ハーマ_|_N-nc 313
と_|_P-sj 310
イオニー_|_N-nc 308
僕_|_D 304
それ_|_D 296
なかっ_|_X 284
ハグリッド_|_N-nc 280
なっ_|_V-dp 277
その_|_R 273
見_|_V-dp 273
先生_|_N-nc 272
で_|_P-sj 267
き_|_V-dp 252
れ_|_X 249
する_|_V-dp 236
お_|_P 229
そう_|_F 226
な_|_P-sj 220
ながら_|_P-sj 219
どう_|_F 215
時_|_N-nc 214
たち_|_Q-n 213
いう_|_V-c 209
たら_|_X 207
ある_|_V-dp 205
二人_|_N-nc 202
って_|_P-fj 202
じゃ_|_X 199
目_|_N-nc 197
です_|_X 195
もう_|_F 195
ん_|_X 184
スネイプ_|_N-nc 180
だろう_|_X 179
てる_|_X 179
中_|_N-nc 178
魔法_|_N-nc 177
声_|_N-nc 173
まで_|_P-fj 171
ね_|_P-sj 171
みんな_|_N-nc 170
だけ_|_P-fj 168
から_|_P-sj 162
いい_|_A-dp 160
もの_|_N-nc 160
顔_|_N-nc 159
あの_|_R 158
ダンブルドア_|_N-nc 157
ば_|_P-sj 156
三_|_N-n 152
この_|_R 149
君_|_D 146
人_|_Q-n 139
誰_|_D 136
られ_|_X 135
方_|_N-nc 135
気_|_N-nc 135
人_|_N-nc 134
これ_|_D 132
』_|_M-cp 131
手_|_N-nc 131
せ_|_X 130
自分_|_N-nc 130
『_|_M-op 130
あっ_|_V-dp 128
の_|_P-sj 127
思っ_|_V-c 126
ネビル_|_N-nc 126
二_|_N-n 125
しまっ_|_V-dp 125
出_|_V-c 125
前_|_N-nc 124
ハグリッド_|_N-pn 118
なん_|_D 117
なんて_|_P-fj 116
や_|_P-fj 116
私_|_D 114
やっ_|_V-dp 112
つ_|_Q-n 111
そう_|_J-xs 111
なる_|_V-dp 110
ところ_|_N-nc 110
上_|_N-nc 107
わ_|_P-sj 106
くれ_|_V-dp 106
聞い_|_V-c 103
し_|_P-sj 102
今_|_N-nc 102
おまえ_|_D 101
たり_|_P-fj 99
ダドリー_|_N-pn 98
度_|_N-nc 97
杖_|_N-nc 96
グリフィンドール_|_N-pn 96
言う_|_V-c 95
なく_|_X 95
ここ_|_D 93
て_|_X 93
リー_|_N-pn 92
でき_|_V-dp 92
ず_|_X 92
さ_|_V-dp 90
ます_|_X 90
どこ_|_D 89
見え_|_V-c 88
けど_|_P-sj 88
なかっ_|_A-dp 87
い_|_P-sj 87
石_|_N-nc 86
いっ_|_V-dp 86
手紙_|_N-nc 85
知っ_|_V-c 85
おじ_|_N-nc 85
箒_|_N-nc 85
へ_|_P-k 84
大きな_|_R 83
 _|_W 82
頭_|_N-nc 82
そこ_|_D 81
おば_|_N-nc 81
音_|_N-nc 80
日_|_N-nc 79
なら_|_X 79
子_|_N-nc 78
ぞ_|_P-sj 78
より_|_P-k 77
入っ_|_V-c 77
マント_|_N-nc 76
また_|_F 76
ダーズ_|_N-pn 75
クィレル_|_N-nc 75
次_|_N-nc 74
行く_|_V-dp 73
かけ_|_V-dp 73
まだ_|_F 73
